law,pixels,path
LAVA,51,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[516].b64
LAVA,194,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[524].b64
warm?,14,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[570].b64
warm?,30,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[571].b64
warm?,23,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[572].b64
warm?,30,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[573].b64
warm?,58,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[574].b64
warm?,17,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[577].b64
PURPLE,127,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[589].b64
PURPLE,76,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[593].b64
PURPLE,135,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[594].b64
PURPLE,112,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[607].b64
PURPLE,68,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[609].b64
warm?,10,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[620].b64
warm?,13,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[621].b64
warm?,20,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[622].b64
warm?,16,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[623].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[625].b64
warm?,5,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[626].b64
PURPLE,15,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[627].b64
PURPLE,18,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[628].b64
PURPLE,19,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[629].b64
PURPLE,13,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[631].b64
PURPLE,30,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[632].b64
PURPLE,64,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[633].b64
warm?,5,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[640].b64
warm?,276,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[644].b64
warm?,6,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[647].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[649].b64
warm?,7,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[651].b64
warm?,6,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[653].b64
warm?,307,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[654].b64
warm?,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[662].b64
warm?,4,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[665].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[666].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[667].b64
warm?,23,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[745].b64
PURPLE,16,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[745].b64
warm?,17,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[746].b64
PURPLE,151,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[748].b64
PURPLE,27,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[749].b64
PURPLE,55,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[751].b64
PURPLE,5,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[755].b64
PURPLE,10,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[756].b64
PURPLE,57,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[760].b64
PURPLE,578,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[765].b64
warm?,175,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[766].b64
warm?,263,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[774].b64
PURPLE,6,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[775].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[776].b64
LAVA,22,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[794].b64
warm?,24,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[845].b64
warm?,16,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[847].b64
warm?,32,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[848].b64
LAVA,21,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[852].b64
warm?,663,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[859].b64
warm?,675,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[860].b64
warm?,676,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[862].b64
warm?,675,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[865].b64
warm?,116,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[884].b64
warm?,37,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[885].b64
warm?,54,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[888].b64
warm?,3,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[893].b64
warm?,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[902].b64
warm?,21,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[913].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[913].b64
LAVA,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[916].b64
warm?,12,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[917].b64
warm?,163,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[919].b64
PURPLE,1,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[983].b64
warm?,48,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[994].b64
PURPLE,67,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[999].b64
PURPLE,7,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[1003].b64
warm?,34,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[1004].b64
PURPLE,2,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[1004].b64
warm?,18,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[1005].b64
PURPLE,4,BOHEMIA_GROUND_SEAMLESS_SET_7_10_26.txt.tiles[1005].b64
warm?,8,BOHEMIA_HOUSE_FACTORY_BANK_7_14_26.txt.houses[13].b64
warm?,3,BOHEMIA_HOUSE_FACTORY_BANK_7_14_26.txt.houses[18].b64
warm?,6,BOHEMIA_HOUSE_FACTORY_BANK_7_14_26.txt.houses[19].b64
warm?,71,BOHEMIA_MOUNTED_SIGNS_7_13_26.txt.signs[0].b64
